name,category,kcal_100g,carb_100g,protein_100g,fat_100g,sodium_mg_100g,default_serving_g,aliases
라면,main,440,60.0,9.0,17.0,1800,120,신라면|봉지라면
잔치국수,rice,130,26.0,4.0,0.5,600,400,국수
비빔국수,rice,160,30.0,5.0,2.0,650,400,
냉면,rice,130,27.0,5.0,0.5,700,450,물냉면|비빔냉면
짜장면,rice,160,26.0,5.0,4.0,700,500,자장면
짬뽕,soup,90,12.0,5.0,2.0,900,600,
우동,rice,120,24.0,4.0,1.0,600,400,
스파게티,rice,150,22.0,5.0,4.0,450,350,파스타|토마토스파게티
칼국수,rice,120,23.0,4.5,1.0,650,450,
쫄면,rice,170,32.0,5.0,2.5,600,350,
닭가슴살,main,110,0.0,23.0,1.5,60,100,훈제닭가슴살
계란,main,150,1.0,12.0,10.0,140,55,달걀|삶은계란
두부,main,85,2.0,8.0,4.5,10,150,생두부
돼지고기목살,main,220,0.0,18.0,16.0,60,120,목살
소고기등심,main,250,0.0,20.0,18.0,55,120,등심
연어,main,200,0.0,20.0,13.0,50,100,연어구이
참치캔,main,130,0.0,25.0,3.0,300,100,참치
고구마,rice,130,31.0,1.2,0.2,15,150,군고구마|찐고구마
감자,rice,70,16.0,2.0,0.1,5,150,찐감자
옥수수,rice,110,24.0,3.5,1.2,10,150,찐옥수수
식빵,rice,270,50.0,9.0,3.5,480,60,토스트
